"","Method","Estimate","Std Error","95% CI "," ","P-value"
"1","Simple median",0.116777454016054,0.0956393954587045,-0.0706723165861908,0.304227224618298,0.222079083291496
"2","Weighted median",0.017051618595644,0.0972920962496969,-0.173637386034166,0.207740623225454,0.86087367854758
"3","Penalized weighted median",0.112263108790339,0.0977782287303279,-0.0793786979932228,0.303904915573902,0.250910717704209
"4","IVW",-0.0731461788525812,0.151611808782658,-0.370299863697565,0.224007505992402,0.629481335780658
"5","Penalized IVW",0.12966886337342,0.0827082895880969,-0.0324364054421592,0.291774132188999,0.116931182393744
"6","Robust IVW",0.073012940010567,0.103185751214928,-0.129227416088401,0.275253296109535,0.479201504116772
"7","Penalized robust IVW",0.131952435908179,0.0840149913247065,-0.0327139212496907,0.296618793066049,0.116279765947492
"8","MR-Egger",-0.70651983769551,0.736426316240808,-2.149888894795,0.736849219403978,0.337362451679216
"9","(intercept)",0.0106490923822167,0.0121150126195561,-0.0130958960243614,0.0343940807887948,0.379401441893818
"10","Penalized MR-Egger",-0.0278489765875736,0.424994964507028,-0.860823800632227,0.80512584745708,0.947753788522901
"11","(intercept)",0.00114889731661693,0.00691852401924572,-0.01241116058728,0.0147089552205138,0.868108911384804
"12","Robust MR-Egger",0.00835936640561525,0.412309905548111,-0.799753198937794,0.816471931749025,0.983824418503488
"13","(intercept)",0.00105726854407085,0.00658779307622517,-0.0118545686229328,0.0139691057110745,0.87249585961234
"14","Penalized robust MR-Egger",0.0444507891587475,0.36692231283004,-0.674703729112269,0.763605307429764,0.903576217928703
"15","(intercept)",0.000207706895623131,0.00604807087166019,-0.0116462941887766,0.0120617079800229,0.972603900034551
