"","Method","Estimate","Std Error","95% CI "," ","P-value","GI","N_snps"
"1","Simple median",0.12563881857287,0.0229557126880541,0.0806464484648348,0.170631188680905,4.42240457802371e-08,"all",51
"2","Simple median",0.13102753160285,0.0224687699705184,0.0869895516837192,0.175065511521981,5.49181315210576e-09,"Steiger Filtered",50
"3","Simple median",0.136416244632831,0.0252817473275562,0.0868649304045786,0.185967558861082,6.82039888026811e-08,"PheWAS T-test Filtered",41
"4","Simple median",0.145310368670836,0.0262766296449643,0.0938091209316088,0.196811616410064,3.20188639169215e-08,"PheWAS PVE Filtered",39
"5","Simple median",0.158067691707888,0.0302199369877905,0.0988377035967483,0.217297679819027,1.68982245303045e-07,"Core GI",29
"21","Weighted median",0.122641721510929,0.0230753926739622,0.0774147829408437,0.167868660081014,1.06758667196105e-07,"all",51
"22","Weighted median",0.124582089256287,0.0227497514682031,0.0799933957213722,0.169170782791203,4.34567279211697e-08,"Steiger Filtered",50
"23","Weighted median",0.132853186210935,0.0252370503040045,0.0833894765390606,0.18231689588281,1.40791817179653e-07,"PheWAS T-test Filtered",41
"24","Weighted median",0.135906626752986,0.0263103622027137,0.0843392644154635,0.187473989090509,2.39775061699664e-07,"PheWAS PVE Filtered",39
"25","Weighted median",0.144887855943354,0.0298338940578077,0.0864144980714678,0.203361213815241,1.19487889829211e-06,"Core GI",29
"31","Penalized weighted median",0.136902764365878,0.0231701264246522,0.0914901510563203,0.182315377675436,3.45049453985652e-09,"all",51
"32","Penalized weighted median",0.137202733448165,0.0229140903594304,0.0922919416051847,0.182113525291145,2.12827180951327e-09,"Steiger Filtered",50
"33","Penalized weighted median",0.141975693512175,0.0254513692449672,0.0920919264348088,0.191859460589541,2.42862938232582e-08,"PheWAS T-test Filtered",41
"34","Penalized weighted median",0.150814752499749,0.0263556242871367,0.0991586781068916,0.202470826892606,1.05092377292418e-08,"PheWAS PVE Filtered",39
"35","Penalized weighted median",0.159021169626202,0.0299892465638977,0.100243326437471,0.217799012814933,1.14160911321719e-07,"Core GI",29
"41","IVW",-0.148161987352303,0.232000653620141,-0.602874912837532,0.306550938132926,0.523065315267873,"all",51
