"","Method","Estimate","Std Error","95% CI "," ","P-value","GI","N_snps"
"1","Simple median",0.119154893914909,0.0352536359459176,0.0500590371368233,0.188250750692994,0.000725037531974829,"all",65
"2","Simple median",0.119154893914909,0.0353667648969043,0.0498373084672808,0.188472479362536,0.000754084440746349,"Steiger Filtered",63
"3","Simple median",0.105424610851896,0.037875775833002,0.0311894543326993,0.179659767371092,0.00537872919912429,"PheWAS T-test Filtered",50
"4","Simple median",0.196620405577103,0.0384339061477449,0.12129133374233,0.271949477411875,3.12404118471285e-07,"PheWAS PVE Filtered",50
"5","Simple median",0.167068282765921,0.0456932184359083,0.0775112202938192,0.256625345238023,0.000255878206135007,"Core GI",36
"21","Weighted median",0.0729678037951069,0.0346574782305923,0.00504039466816494,0.140895212922049,0.0352566314694084,"all",65
"22","Weighted median",0.0729291517758611,0.0356461158698714,0.00306404848217157,0.142794255069551,0.0407641031381074,"Steiger Filtered",63
"23","Weighted median",0.0778843851275895,0.0385134249193204,0.00239945936443409,0.153369310890745,0.0431488915398429,"PheWAS T-test Filtered",50
"24","Weighted median",0.168717265704147,0.0394039801861107,0.09148688369184,0.245947647716454,1.85444608161165e-05,"PheWAS PVE Filtered",50
"25","Weighted median",0.107590186885768,0.049751522942934,0.0100789937415988,0.205101380029936,0.0305757595842833,"Core GI",36
"31","Penalized weighted median",0.100332487882398,0.0348978214433613,0.0319340147145005,0.168730961050296,0.00403981620483703,"all",65
"32","Penalized weighted median",0.100243038463725,0.0352711825789559,0.0311127909168352,0.169373286010615,0.00448221729078824,"Steiger Filtered",63
"33","Penalized weighted median",0.12962802985017,0.0385607354441216,0.0540503771623145,0.205205682538025,0.000774758351947893,"PheWAS T-test Filtered",50
"34","Penalized weighted median",0.235229830711014,0.0393489149327421,0.158107374612109,0.312352286809919,2.25822675524843e-09,"PheWAS PVE Filtered",50
"35","Penalized weighted median",0.244112601989589,0.0462183981095364,0.153526206271763,0.334698997707414,1.27977223364599e-07,"Core GI",36
"41","IVW",0.0734545717988327,0.066992077216539,-0.0578474867951101,0.204756630392775,0.27287465394344,"all",65
"42","IVW",0.0726342625380431,0.0529084228991065,-0.0310643408230199,0.176332865899106,0.169805247149117,"Steiger Filtered",63
"43","IVW",0.041778435967976,0.0548125728093794,-0.065652232638387,0.149209104574339,0.445937456520554,"PheWAS T-test Filtered",50
"44","IVW",0.114568285528475,0.0849479426924684,-0.0519266227095352,0.281063193766486,0.177437146319218,"PheWAS PVE Filtered",50
"45","IVW",0.0242164236183256,0.0715770350895962,-0.116071987277443,0.164504834514094,0.735116988909272,"Core GI",36
"51","Penalized IVW",0.132448733668739,0.0234268612058511,0.0865329294344525,0.178364537903026,1.57018940975001e-08,"all",65
"52","Penalized IVW",0.132448733668739,0.0238017147868714,0.0857982299161769,0.179099237421302,2.62646094003963e-08,"Steiger Filtered",63
"53","Penalized IVW",0.113504411834064,0.0275215004760117,0.0595632621005791,0.167445561567549,3.72011464608492e-05,"PheWAS T-test Filtered",50
"54","Penalized IVW",0.245107897417623,0.0239199582257144,0.198225640783521,0.291990154051726,1.22069148418814e-24,"PheWAS PVE Filtered",50
"55","Penalized IVW",0.225656777663189,0.0296800555749786,0.167484937677083,0.283828617649294,2.89395107176277e-14,"Core GI",36
"6","Robust IVW",0.0734477693854788,0.0715792349147061,-0.0668449530882771,0.213740491859235,0.304842366713963,"all",65
"61","Robust IVW",0.0737446978236457,0.0719685743295294,-0.0673111158809257,0.214800511528217,0.305514602503717,"Steiger Filtered",63
"62","Robust IVW",0.0565101131518379,0.0659545165420195,-0.0727583638882715,0.185778590191947,0.391553050761103,"PheWAS T-test Filtered",50
"63","Robust IVW",0.113466340117127,0.0819805286797882,-0.0472125435288109,0.274145223763065,0.166338703230552,"PheWAS PVE Filtered",50
"64","Robust IVW",0.0375990555663688,0.0899584526883812,-0.138716271807809,0.213914382940546,0.67597619489569,"Core GI",36
"7","Penalized robust IVW",0.150898001395876,0.0480637218342715,0.0566948376377526,0.245101165154,0.00169213021354347,"all",65
"71","Penalized robust IVW",0.147973430986214,0.0432692928564045,0.0631671753511455,0.232779686621283,0.000626613175118193,"Steiger Filtered",63
"72","Penalized robust IVW",0.127171763765268,0.0457140653302592,0.0375738421310487,0.216769685399487,0.00540423976880674,"PheWAS T-test Filtered",50
"73","Penalized robust IVW",0.261645322761502,0.0842789338282637,0.0964616478026703,0.426828997720333,0.00190590433881714,"PheWAS PVE Filtered",50
"74","Penalized robust IVW",0.252502833969535,0.0686949431279591,0.117863219518708,0.387142448420362,0.00023718688340319,"Core GI",36
"8","MR-Egger",-0.0700195484280667,0.270703630702638,-0.600588915089468,0.460549818233334,0.795899445273809,"all",65
"81","MR-Egger",-0.0166532262751932,0.210785575742264,-0.42978536319057,0.396478910640183,0.937028223955303,"Steiger Filtered",63
"82","MR-Egger",-0.25914955200094,0.363123422337943,-0.970858381726236,0.452559277724356,0.475432523122592,"PheWAS T-test Filtered",50
"83","MR-Egger",0.346325521798074,0.414343645372237,-0.465773100354546,1.15842414395069,0.40324420162916,"PheWAS PVE Filtered",50
"84","MR-Egger",-0.520486227772675,0.482833100269488,-1.46682171484469,0.425849259299337,0.281041015721823,"Core GI",36
"9","(intercept)",0.00221731060552672,0.00405197469239846,-0.00572441385784202,0.0101590350688955,0.584229459826176,"all",65
"91","(intercept)",0.00138010481510723,0.00315237783056958,-0.00479844219847165,0.00755865182868611,0.661532696613885,"Steiger Filtered",63
"92","(intercept)",0.00418535994531539,0.00499216160095509,-0.0055990969975604,0.0139698168881912,0.401813775426255,"PheWAS T-test Filtered",50
"93","(intercept)",-0.00346538729654529,0.00606208188945226,-0.0153468494712042,0.00841607487811365,0.567559317403663,"PheWAS PVE Filtered",50
"94","(intercept)",0.00755407881222508,0.00662270434262114,-0.00542618317956936,0.0205343408040195,0.254022446663519,"Core GI",36
"10","Penalized MR-Egger",0.0531041276525093,0.152815279811178,-0.24640831706481,0.352616572369829,0.728211698183561,"all",65
"101","Penalized MR-Egger",0.0748954400434485,0.157656573511595,-0.234105765965269,0.383896646052166,0.634748239581307,"Steiger Filtered",63
"102","Penalized MR-Egger",-0.215519454280013,0.209209969292794,-0.62556345930062,0.194524550740595,0.302935548769564,"PheWAS T-test Filtered",50
"103","Penalized MR-Egger",0.526815265587358,0.19813236554102,0.138482964955234,0.915147566219482,0.0078394914200397,"PheWAS PVE Filtered",50
"104","Penalized MR-Egger",-0.331159819913794,0.327754629368532,-0.973547089242391,0.311227449414802,0.312308740080191,"Core GI",36
"11","(intercept)",0.000694144056320079,0.00207018961359664,-0.00336335302749824,0.00475164114013839,0.73739534011657,"all",65
"111","(intercept)",0.00033151053028797,0.00213278455898153,-0.00384867039209898,0.00451169145267492,0.876477963823473,"Steiger Filtered",63
"112","(intercept)",0.00371347921350378,0.00275804446361394,-0.00169218860293963,0.0091191470299472,0.178167924085214,"PheWAS T-test Filtered",50
"113","(intercept)",-0.00508802422695997,0.00266474513366089,-0.0103108287169137,0.000134780262993755,0.0562124521105531,"PheWAS PVE Filtered",50
"114","(intercept)",0.00565974838828795,0.00423704173338599,-0.00264470081014176,0.0139641975867177,0.181621748923284,"Core GI",36
"12","Robust MR-Egger",-0.260175772771003,0.43500870714215,-1.11277717173095,0.592425626188942,0.549777711879518,"all",65
"121","Robust MR-Egger",-0.298829498788242,NA,NA,NA,NA,"Steiger Filtered",63
"122","Robust MR-Egger",-0.181563742709303,0.580916062397945,-1.3201383030501,0.957010817631492,0.754624627278772,"PheWAS T-test Filtered",50
"123","Robust MR-Egger",0.537274671947227,0.72071331537656,-0.875297469369287,1.94984681326374,0.455983853221907,"PheWAS PVE Filtered",50
"124","Robust MR-Egger",-0.551982394414301,0.710974435502342,-1.94546668192759,0.841501893098985,0.437527919270106,"Core GI",36
"13","(intercept)",0.00464314194416869,0.00583824252434342,-0.00679960313655462,0.016085887024892,0.42644024232,"all",65
"131","(intercept)",0.00515293159963457,NA,NA,NA,NA,"Steiger Filtered",63
"132","(intercept)",0.00325661966850633,0.00734219338913929,-0.0111338149417348,0.0176470542787474,0.657368967591216,"PheWAS T-test Filtered",50
"133","(intercept)",-0.00597728113528604,0.00939201996680052,-0.0243853020122961,0.012430739741724,0.524501890732181,"PheWAS PVE Filtered",50
"134","(intercept)",0.00800352817795357,0.00913806701568303,-0.00990675406109857,0.0259138104170057,0.38111442932132,"Core GI",36
"14","Penalized robust MR-Egger",0.430985134585787,0.299408619945533,-0.155844977168299,1.01781524633987,0.150021745924863,"all",65
"141","Penalized robust MR-Egger",0.430915698619491,0.26215846978983,-0.0829054604107089,0.94473685764969,0.100233596631909,"Steiger Filtered",63
"142","Penalized robust MR-Egger",-0.186126592962355,NA,NA,NA,NA,"PheWAS T-test Filtered",50
